Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,911 Alternative Model Study and Strategic Plan,Cook County Justice Advisory Council,Develop a strategic plan on 911 alternative response models,"The Justice Advisory Council will engage consultants to develop a report and strategic plan on 911 alternative response models for Cook County. This includes 1) a comprehensive analysis of Cook County's current 911 system, 2) best and emerging practices in putting in place alternative responses, and 3) recommendations and a strategic plan on how Cook County may move forward with a new model. The goal of this project is to develop a plan for a response system that both better responds with mental health and other emergency services that do not require a traditional law enforcement response, needs which have been exacerbated during the lengthy pandemic, and to prevent unnecessary involvement of individuals in the criminal justice system.",Community Safety,Alternative Emergency Response,1.5,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,911 Alternative Response,Chicago Department of Public Health,Piloting new approaches to 911 call diversion,"Improves the City's response to 911 calls by piloting new approaches to 911 call diversion, alternate response models, and establishing alternate destinations for patient transport",Community Safety,Alternative Emergency Response,15,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Abolish Medical Debt,Agency lead not specified,Purchasing and retiring medical debt of income-eligible patients in Cook County hospitals,"Cook County will support the development of a Community Information Exchange (CIE) for suburban Cook County and the City of Chicago to enhance the 211 system already being collaboratively developed by Cook County, the City of Chicago and a range of partners. A CIE is an interconnected and linked network of health, behavioral health, human, and social service providers that share information and coordinate services so that an individual receives the whole person care they need to be healthy and thrive, regardless of how they initially enter services, creating a “no wrong door” access to the social and health services system.",Household Investment,Household Supportive Services,3.59,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Access and awareness for public support services,Chicago Department of Family and Support Services; Chicago Department of Public Health,Community-based navigation resources for public services,"Provides community-based navigation resources to ensure residents are aware of and have access to public services, including the creation of a 211 system",Household Investment,Household Supportive Services,14.7,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,Chicago General Obligation Bond,Acquisition rehab program for small/mid-sized buildings,Chicago Department of Housing,Restoration of troubled and abandoned homes,Identifies and restores troubled and abandoned homes and buildings in priority neighborhoods to support community investment,Housing,Affordable Housing,12,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html","<a href = ""https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html"">City of Chicago</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Advancing equitable recovery in the Southland/building capacity in the Southland,Southland Development Authority,Small business growth programs,"The Southland Development Authority (SDA) drives comprehensive, transformative and inclusive economic growth in Cook County’s South Suburbs. Funding will allow the SDA to continue to support the small business growth programs to advance key sectors.",Community Investment,Small Business,12.35,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Aid for Chicago's vulnerable students,Chicago Office of Budget and Management,Grants for students and households to cover school supplies,"Provides flexible grants for Chicago students/households to cover school supplies, food, and other essentials that are required for student support",Household Investment,Household Supportive Services,20,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,American Rescue Plan Capital Assets Program,Illinois Department of Commerce and Economic Opportunity,Support improvements and investments in commecial corridors and downtowns,"To support improvements and encourage investment in commercial corridors and downtowns that have experienced disinvestment, particularly in communities hardest hit by COVID-19. Through this program, DCEO can fund projects that make these areas more attractive for private investment, generate short-term and long-term employment opportunities, and improve quality of life in the community through high-quality infrastructure and amenities.",Community Investment,Community Development,45,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Artist relief and works fund,Chicago Department of Cultural Affairs and Special Events,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,Targeted relief for individual artists and cultural organizations not eligible for other federal relief programs,Household Investment,Targeted Economic Assistance,10,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Back to Business Grant Program,Illinois Department of Commerce and Economic Opportunity,Funds for businesses for revenue loss recovery,"For general business recovery and to offset losses during the pandemic, including a set aside for businesses that applied but did not receive funding under the Business Interruption Grant Program (BIG) and a set aside for business regrowth and renewal",Community Investment,Small Business,300,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
