Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA State and Local Fiscal Recovery Funds,Commercial corridors and responsive neighborhood activation investments,Chicago Department of Business Affairs and Consumer Protection,Grants and business support services to revitalize commercial corridors,Grants and business support services to revitalize commercial corridors and support new small business owners and local artists involved in beautification projects; also includes community programs to drive local participation in the planning process and workforce participation in community-driven development projects,Community Investment,Community Development,48.6,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,CARES,Community Development Block Grant,U.S. Department of Housing and Urban Development,"Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons","Funds available to states, metropolitan cities, urban counties, and insular areas to respond to the Covid-19 pandemic. At least 70 percent of every grant must be expended for activities that benefit low- and moderate-income persons by providing housing, a permanent job, a public service, or access to new or significantly improved infrastructure. The remaining 30 percent may be used to eliminate slum or blighted conditions, or to address an urgent need for which the grantee certifies it has no other funding.",Community Investment,Community Development,66.86,2020-09-25,2021-12-31,1,1,"https://www.hud.gov/program_offices/comm_planning/budget/fy20""><a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20","<a href = ""https://www.hud.gov/program_offices/comm_planning/budget/fy20"">U.S. Department of Housing and Urban Development CARES Act Supplemental Funding</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Community wealth building pilot,Chicago Department of Planning and Development,Economic development program promoting local ownership of community assets,"Creates a new economic development program to promote local, democratic, and shared ownership and control of community assets; pilot investments in shared-equity models (e.g. worker cooperatives, housing cooperatives, community land trusts), giving historiclaly disinvested communities more accessible and sustainable pathways to building wealth",Community Investment,Community Development,15,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Wealth Building: Commercial Rehab,NA,Economic development program promoting local ownership of community assets,"Community Wealth Building (CWB) is an approach to economic development that promotes the local, democratic, and shared ownership and control of community assets. CWB exclusively focuses on shared-equity models, giving historically disinvested communities more accessible and sustainable pathways to building wealth by sharing in the purchase and ownership of businesses, housing, and land. Examples of CWB models include worker cooperatives, limited-equity housing cooperatives, community land trusts, and community investment vehicles in commercial real estate. The project has two major components: (1) Ecosystem Development Program providing multi-year contracts with technical assistance organizations to provide free, highly specialized services (e.g. legal, financial, business development, community education) to CWB models; and (2) Large Scale Pilot Projects development grants or loans to approximately 2-3 large scale CWB projects on the South and West Sides.",Community Investment,Community Development,NA,NA,NA,0,NA,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Wealth Building: Small Business,NA,Economic development program promoting local ownership of community assets,"Community Wealth Building (CWB) is an approach to economic development that promotes the local, democratic, and shared ownership and control of community assets. CWB exclusively focuses on shared-equity models, giving historically disinvested communities more accessible and sustainable pathways to building wealth by sharing in the purchase and ownership of businesses, housing, and land. Examples of CWB models include worker cooperatives, limited-equity housing cooperatives, community land trusts, and community investment vehicles in commercial real estate. The project has two major components: (1) Ecosystem Development Program providing multi-year contracts with technical assistance organizations to provide free, highly specialized services (e.g. legal, financial, business development, community education) to CWB models; and (2) Large Scale Pilot Projects development grants or loans to approximately 2-3 large scale CWB projects on the South and West Sides.",Community Investment,Community Development,NA,NA,NA,0,NA,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Community Wealth Building: Startups,NA,Economic development program promoting local ownership of community assets,"Community Wealth Building (CWB) is an approach to economic development that promotes the local, democratic, and shared ownership and control of community assets. CWB exclusively focuses on shared-equity models, giving historically disinvested communities more accessible and sustainable pathways to building wealth by sharing in the purchase and ownership of businesses, housing, and land. Examples of CWB models include worker cooperatives, limited-equity housing cooperatives, community land trusts, and community investment vehicles in commercial real estate. The project has two major components: (1) Ecosystem Development Program providing multi-year contracts with technical assistance organizations to provide free, highly specialized services (e.g. legal, financial, business development, community education) to CWB models; and (2) Large Scale Pilot Projects development grants or loans to approximately 2-3 large scale CWB projects on the South and West Sides.",Community Investment,Community Development,NA,NA,NA,0,NA,NA,NA
Chicago,CARES,Economic Development Assistance Grant,U.S. Department of Commerce,Wide-ranging financial assistance for Covid-19 recovery,"This investment will support Chicago in establishing the Kostner Avenue veritcal clearance improvement project to enhance industrial development potential for open space in North Lawndale, one of the city's most economically distressed neighborhoods",Community Investment,Infrastructure,4.75,2021-11-04,NA,0,1,"https://www.usaspending.gov/award/ASST_NON_067906339_1325""><a href = ""https://www.usaspending.gov/award/ASST_NON_067906339_1325","<a href = ""https://www.usaspending.gov/award/ASST_NON_067906339_1325"">USASpending</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Environmental justice/hazard reduction program,Chicago Department of Public Health,Pollution and industrial health assessments,"Hiring of additional staff to support enhanced data collection and analysis, waste recovery, and permitting and inspections, with a focus on environmental justice communities.",Community Investment,Infrastructure,8.7,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Equitable Transit Oriented Development (ETOD) program,Chicago Department of Planning and Development,Community-driven development near transit,"Advance local housing, public health, climate resiliency and economic recovery goals by supporting community-driven development near transit to foster healthy, walkable, affordable, and accessible communities",Community Investment,Community Development,10,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,CRRSAA,Surface Transportation Block Grant Program (STBGP),U.S. Department of Transportation,Supplemental appropriations to existing highway infrastructure programs,Supplemental appropriations to existing highway infrastructure programs,Community Investment,Infrastructure,55.03,2021-01-15,2024-12-31,0,1,"https://www.fhwa.dot.gov/legsregs/directives/notices/n4510851/""><a href = ""https://www.fhwa.dot.gov/legsregs/directives/notices/n4510851/","<a href = ""https://www.fhwa.dot.gov/legsregs/directives/notices/n4510851/"">U.S. Department of Transportation Apportionment of Highway Infrastructure Program Funds</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Together We Heal place-making grants,Chicago Department of Cultural Affairs and Special Events,Community engagement and cultural projects,"Support for projects that utilize community engagement to produce cultural projects including community-led public art installations, historical walking tours, neighborhood and educational websites, pop up galleries, and other cultural activations",Community Investment,Community Development,6,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,City digital services,"Chicago Department of Assets, Information and Services; Chicago Department of Planning and Development",IT and digital service team investments,"The City Digital Services initiative seeks to deliver more accessible city services for residents, business and other constituents. These efforts will provide more efficient IT systems and support, enable transparency through broader access to data and maintain protections for residents' privacy and security. IT investments will enhance the effectiveness of relief and support programs addressing negative economic impacts exacerbated by the pandemic, by investing in new applications, websites, data analytics tools, and other technologies, as needed to support the Chicago Recovery Plan objectives.The initial activities of the initiative will be to provide data and transparency on the implementation of the Chicago Recovery Plan and SLFRF funds in the City of Chicago.",Community Investment,Infrastructure,10,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/city/en/sites/chicago-recovery-plan/home/dashboards.html""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
