Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Chicago,ARPA State and Local Fiscal Recovery Funds,911 Alternative Response Program (CARE),Chicago Department of Public Health,Piloting new approaches to 911 call diversion,"The 911 Alternative Response initiative will improve the city's response to 911 calls with a behavioral health component by piloting new approaches to 911 call diversion, alternate responses, and establishing alternate destinations for patient transport. Funding will allow for creation of new teams that will serve community areas prioritized based on the volume of 911 calls with a behavioral health component.",Community Safety,Alternative Emergency Response,15,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Gender-based violence reduction,Chicago Department of Family and Support Services,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services",Community Safety,Violence Prevention/Reduction,20,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,"Gender-based violence prevention, education and training",NA,Funds and legal assistance for survivors of gender-based violence,"Program seeks to provide age-appropriate, trauma-informed and culturally appropriate services, such as ongoing comprehensive case management, clinical services, and counseling, to youth impacted by gender-based violence (GBV) and/or human trafficking (HT) in Chicago.",Community Safety,Violence Prevention/Reduction,NA,NA,NA,0,1,NA,NA
Chicago,ARPA State and Local Fiscal Recovery Funds,Gender-based violence victim services to young people,NA,Funds and legal assistance for survivors of gender-based violence,Provide prevention education on gender-based violence (GBV) for both youth and caregivers with the goal of enhancing the current and future safety and stability of youth through awareness education and resources for further assistance.,Community Safety,Violence Prevention/Reduction,NA,NA,NA,0,1,NA,NA
Chicago,Chicago General Obligation Bond,Gender-based violence reduction,Chicago Department of Family and Support Services,Emergency funds and legal assistance for survivors of gender-based violence,"Assists survivors of gender-based violence through emergency funds, legal assistance, prevention education, housing and other care coordination services",Community Safety,Victim Supports,5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA,Head Start,U.S. Department of Health and Human Services,"Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families","Head Start promotes school readiness of infants, toddlers, and pre-school-aged children from low-income families",Community Safety,Household Supportive Services,51.78,2021-07-14,2026-12-31,0,1,"https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html""><a href = ""https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html","<a href = ""https://www.chicago.gov/city/en/depts/mayor/press_room/press_releases/2021/july/HeadStartEarlyStartAwards.html"">City of Chicago Office of Mayor Lori Lightfoot</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Resources for community safety initiatives and violence reduction initiatives,Chicago Department of Public Health,Violence reduction and community safety programs,"Funds a comprehensive set of programs including operational support and staffing for the CSCC, communications and marketing for violence prevention and reduction, expansion of resources for violence intervention programming and support for community groups",Community Safety,Violence Prevention/Reduction,45,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Sobering Center,Chicago Department of Public Health,Creates a new sobering center facility as an alternative to emergency rooms and jails for publicly intoxicated individuals,Creates a new facility to enhance public safety and health outcomes by providing an alternative to emergency rooms and jails for publicly intoxicated individuals to initiate recovery,Community Safety,Alternative Emergency Response,5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Victim supporting fund,Chicago Department of Public Health,Services and supports for victims of violent crime,"Services and supports for victims of violent crime and their families, including mental health supports, crisis intervention, support with accessing crime victim compensation, housing, food, and more",Community Safety,Victim Supports,10,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth intervention programs,Chicago Department of Family and Support Services,"Interventions for young people involved in violent crime, both victims and perpetrators","Expands interventions for young people with violence involvement--both victims and perpetrators--that will include case management and services such as mental health, employment support, and other wraparound services",Community Safety,Violence Prevention/Reduction,19.5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth intervention programs,NA,"Interventions for young people involved in violent crime, both victims and perpetrators","This intervention will provide services to meet the needs of young people with violence involvement, both victims and perpetrators, who are underserved by existing City programs. The intervention includes case management and services navigation to connect youth with trauma-informed mental health services, employment support and other wraparound services.",Community Safety,Violence Prevention/Reduction,NA,NA,NA,0,NA,NA,NA
