Geography,Funding Source,Program,Agency,Description,Detail Description,Policy Topic,Policy Subtopic,Allocation (millions),Current As Of,Expiration,is_expired,amount_exact,source_url,source_name
Cook County,ARPA State and Local Fiscal Recovery Funds,Community Conservation Corps,Forest Preserves of Cook County within the Office of the President,Community conservation projects in local forest preserves,The Forest Preserves along with corps partners will recruit and hire up to 282 adult corps members per year from Cook County who are currently unemployed or under-employed to conduct meaningful conservation work in their local Forest Preserve. Corps members will be deployed in teams of 6 to 10 participants and supervised by experienced Field Leaders who have the technical skills to train and supervise conservation work while providing soft job skills for those new to the work force. A minimum of 75% of participants will gain at least three advanced industry skill certifications.,Workforce Development,Employment Opportunities,2.19,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA,Expanding the Public Health Workforce,Centers for Disease Control and Prevention,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers.",Workforce Development,Workforce Sustainability,20.52,2021-05-28,2025-12-31,0,1,"https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf""><a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf","<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>"
Illinois,ARPA,Expanding the Public Health Workforce,Centers for Disease Control and Prevention,"Funds for establishing, expanding, and sustaining public health workforces","These funds can be used to carry out activities related to establishing, expanding, and sustaining a public health workforce employed by state or local public health departments or non-profit, private, or public organizations with demonstrated expertise in implementing public health programs. Public health departments employ contact tracers, nurses, epidemiologists, community health workers",Workforce Development,Workforce Sustainability,26.05,2021-05-28,2025-12-31,0,1,"https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf""><a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf","<a href = ""https://www.cdc.gov/std/funding/pchd/CDC-DIS-Workforce-Development-Funding.pdf"">CDC Disease Intervention Specialists Workforce Development Funding</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Investing in families and youth,Cook County Bureau of Economic Development,Workforce developpment and community service programming in suburban Cook County,"Cook County will provide support to workforce and training programs that offer young adults quality paid work experiences to explore career pathways in target sectors or provide opportunities for a “community service corps”. The County will also support the expansion of workforce development programs that serve hard to engage populations including people without stable housing, youth in care and graduates of foster care system, people with disabilities, returning residents, and pregnant and parenting youth. Program resources will support residents of suburban Cook County.",Workforce Development,Job Training,2.19,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Re-entry workforce program,Chicago Department of Family and Support Services,Expands workforce training opportunities for formerly incarcerated individuals,Expands workforce training opportunities for formerly incarcerated individuals to attain employment and other stabilization services,Workforce Development,Job Training,9.5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Street ambassador program,Chicago Department of Planning and Development; Department of Business Affiairs and Consumer Protection,Workforce opportunities in commercial development,"Creates workforce opportunities for engagement along corridors to ensure safety, cleanliness, and local participation in commercial development processes",Workforce Development,Employment Opportunities,10,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Cook County,ARPA State and Local Fiscal Recovery Funds,Supporting apprenticeships in suburban Cook,Cook County Bureau of Economic Development,Establishing and expanding apprenticeship programs,"As a designated Apprenticeship Navigator by the Illinois Department of Commerce and Economic Opportunity, Cook County will support the establishment of new apprenticeships or expansions of existing apprenticeships in suburban Cook County. The Bureau of Economic Development will fund eligible partners and Illinois Department of Commerce and Economic Opportunity intermediaries to sponsor and manage apprenticeship programs, conduct industry engagement, provide technical assistance to businesses, and support apprentices' progress.",Workforce Development,Job Training,2.19,2022-02-10,2024-12-31,0,0,"https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf""><a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf","<a href = ""https://www.cookcountyil.gov/sites/g/files/ywwepo161/files/documents/2022-02/ARPA%20At%20A%20Glance%20-%202-10-22.pdf"">Cook County ARPA Recovery Plan</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Workforce development program,Chicago Department of Family and Support Services,Workforce development programming and wraparound services,"Provides workforce development programming, including apprenticeship, career services, and other wraparound support for those entering the workforce or new industries",Workforce Development,Job Training,9.5,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
Illinois,ARPA State and Local Fiscal Recovery Funds,Workforce recovery,Illinois Department of Commerce and Economic Opportunity,Workforce programs for displaced wokers and underrepresented populations,"Connects displaced workers, with an emphasis on underrepresented populations, with new opportunities and reinvigorated efforts to reach unemployed and underemployed populations at all skill levels",Workforce Development,Workforce Sustainability,50,2022-09-15,2024-12-31,0,1,"https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf""><a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf","<a href = ""https://budget.illinois.gov/content/dam/soi/en/web/budget/documents/lboc/LBOC-Report-August%202022.pdf"">State of Illinois Executive Office of the Governor Governor's Office of Management and Budget</a>"
Chicago,ARPA State and Local Fiscal Recovery Funds,Youth programs,Chicago Department of Family and Support Services,Creates and expands youth career programs,"Creates and expands a comprehensive portfolio of programs to connect Chicago youth with early career opportunities, as well as an expansion of the My CHI. My Future. Program to increase opportunities for out-of-school programming and education",Workforce Development,Workforce Supportive Services,65,2021-09-20,2024-12-31,0,1,"https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf""><a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf","<a href = ""https://www.chicago.gov/content/dam/city/depts/obm/supp_info/2022Budget/ChicagoRecoveryPlan.pdf"">City of Chicago ARPA Recovery Plan</a>"
